State,Year,Total_Accidents,Persons_Killed,Persons_Injured,Fatality_Rate_pct,Severity_Index,Registered_Vehicles,Accidents_per_10k_vehicles,TwoWheeler_Involved,Car_Involved,Truck_Involved,Bus_Involved,Pedestrian_Involved,Cause_Overspeeding,Cause_Alcohol,Cause_Negligence,Cause_Weather,Cause_Mechanical,Cause_Other,Yearly_Growth_pct,State_Risk_Score,High_Risk_Corridor_Flag
Andhra Pradesh,2010,16143,465,3876,2.88,0.327,6012764,26.8479,7264,4035,2421,807,1616,4842,1614,4035,807,484,4361,0.0,0.191,Low
Andhra Pradesh,2011,15931,409,4074,2.57,0.333,5513851,28.8927,7168,3982,2389,796,1596,4779,1593,3982,796,477,4304,-1.3132627144892495,0.198,Low
Andhra Pradesh,2012,15941,584,4968,3.66,0.422,5862968,27.1893,7173,3985,2391,797,1595,4782,1594,3985,797,478,4305,0.06277069863787066,0.331,Low
Andhra Pradesh,2013,18028,908,3209,5.04,0.329,6209138,29.0346,8112,4507,2704,901,1804,5408,1802,4507,901,540,4870,13.0920268490057,0.223,Low
Andhra Pradesh,2014,16859,562,3813,3.33,0.326,6688880,25.2045,7586,4214,2528,842,1689,5057,1685,4214,842,505,4556,-6.484357665853113,0.176,Low
Andhra Pradesh,2015,17417,671,5588,3.85,0.436,6692101,26.0262,7837,4354,2612,870,1744,5225,1741,4354,870,522,4705,3.309804852007825,0.358,Low
Andhra Pradesh,2016,17533,608,5343,3.47,0.409,6843501,25.6199,7889,4383,2629,876,1756,5259,1753,4383,876,525,4737,0.6660159614169991,0.313,Low
Andhra Pradesh,2017,18026,624,4732,3.46,0.366,6556580,27.493,8111,4506,2703,901,1805,5407,1802,4506,901,540,4870,2.8118405292876236,0.255,Low
Andhra Pradesh,2018,19351,983,5449,5.08,0.434,7152629,27.0544,8707,4837,2902,967,1938,5805,1935,4837,967,580,5227,7.350493731277052,0.364,Low
Andhra Pradesh,2019,17801,550,4942,3.09,0.37,7769705,22.9108,8010,4450,2670,890,1781,5340,1780,4450,890,534,4807,-8.00992196785696,0.236,Low
Andhra Pradesh,2020,19505,410,3727,2.1,0.254,7031003,27.7414,8777,4876,2925,975,1952,5851,1950,4876,975,585,5268,9.57249592719509,0.105,Low
Andhra Pradesh,2021,19728,754,6654,3.82,0.452,6917443,28.5192,8877,4932,2959,986,1974,5918,1972,4932,986,591,5329,1.1432965906177817,0.377,Low
Andhra Pradesh,2022,20432,720,6613,3.52,0.429,8073196,25.3084,9194,5108,3064,1021,2045,6129,2043,5108,1021,612,5519,3.5685320356853234,0.348,Low
Andhra Pradesh,2023,22368,1022,6818,4.57,0.442,8182239,27.3373,10065,5592,3355,1118,2238,6710,2236,5592,1118,671,6041,9.475332811276438,0.38,Low
Arunachal Pradesh,2010,31483,671,10446,2.13,0.396,4916549,64.0348,14167,7870,4722,1574,3150,9444,3148,7870,1574,944,8503,0.0,0.301,Low
Arunachal Pradesh,2011,36992,1776,11488,4.8,0.455,5497811,67.285,16646,9248,5548,1849,3701,11097,3699,9248,1849,1109,9990,17.498332433376753,0.426,Medium
Arunachal Pradesh,2012,35045,1187,13087,3.39,0.475,5216281,67.1839,15770,8761,5256,1752,3506,10513,3504,8761,1752,1051,9464,-5.263300173010377,0.406,Medium
Arunachal Pradesh,2013,39543,2066,12768,5.22,0.48,5233970,75.5507,17794,9885,5931,1977,3956,11862,3954,9885,1977,1186,10679,12.834926523041812,0.454,Medium
Arunachal Pradesh,2014,39096,1336,12643,3.42,0.426,6120986,63.8721,17593,9774,5864,1954,3911,11728,3909,9774,1954,1172,10559,-1.1304149912753192,0.343,Low
Arunachal Pradesh,2015,37682,1000,11020,2.65,0.372,5797996,64.9914,16956,9420,5652,1884,3770,11304,3768,9420,1884,1130,10176,-3.616738285246568,0.259,Low
Arunachal Pradesh,2016,40345,1366,17415,3.39,0.533,5958620,67.7086,18155,10086,6051,2017,4036,12103,4034,10086,2017,1210,10895,7.067034658457616,0.518,Medium
Arunachal Pradesh,2017,39279,1541,13497,3.92,0.461,7208738,54.488,17675,9819,5891,1963,3931,11783,3927,9819,1963,1178,10609,-2.6422109307225217,0.388,Low
Arunachal Pradesh,2018,44895,1941,14126,4.32,0.444,6955817,64.5431,20202,11223,6734,2244,4492,13468,4489,11223,2244,1346,12125,14.297716336973965,0.402,Medium
Arunachal Pradesh,2019,41224,1312,9311,3.18,0.321,6767441,60.9152,18550,10306,6183,2061,4124,12367,4122,10306,2061,1236,11132,-8.176857111036862,0.173,Low
Arunachal Pradesh,2020,45174,1486,11803,3.29,0.36,6907651,65.3971,20328,11293,6776,2258,4519,13552,4517,11293,2258,1355,12199,9.581797011449634,0.269,Low
Arunachal Pradesh,2021,45498,1476,15582,3.24,0.44,6749046,67.414,20474,11374,6824,2274,4552,13649,4549,11374,2274,1364,12288,0.7172267233364282,0.368,Low
Arunachal Pradesh,2022,43106,1290,10108,2.99,0.324,8501798,50.7022,19397,10776,6465,2155,4313,12931,4310,10776,2155,1293,11641,-5.257373950503319,0.182,Low
Arunachal Pradesh,2023,43455,1918,11589,4.41,0.399,7404211,58.6896,19554,10863,6518,2172,4348,13036,4345,10863,2172,1303,11736,0.809632069781463,0.306,Low
Assam,2010,48918,2330,14637,4.76,0.442,11297443,43.3001,22013,12229,7337,2445,4894,14675,4891,12229,2445,1467,13211,0.0,0.364,Low
Assam,2011,59358,1451,15556,2.44,0.335,11995018,49.4855,26711,14839,8903,2967,5938,17807,5935,14839,2967,1780,16030,21.34183736048081,0.254,Low
Assam,2012,57836,2223,17119,3.84,0.411,11994178,48.2201,26026,14459,8675,2891,5785,17350,5783,14459,2891,1735,15618,-2.564102564102566,0.314,Low
Assam,2013,63823,2914,11172,4.57,0.312,13483838,47.333,28720,15955,9573,3191,6384,19146,6382,15955,3191,1914,17235,10.35168407220417,0.197,Low
Assam,2014,67372,3187,19489,4.73,0.431,12521589,53.8047,30317,16843,10105,3368,6739,20211,6737,16843,3368,2021,18192,5.560691286840158,0.362,Low
Assam,2015,64121,1847,20378,2.88,0.404,13367726,47.967,28854,16030,9618,3206,6413,19236,6412,16030,3206,1923,17314,-4.825446773140174,0.299,Low
Assam,2016,66929,2081,18596,3.11,0.371,14057160,47.612,30118,16732,10039,3346,6694,20078,6692,16732,3346,2007,18074,4.379220536173789,0.27,Low
Assam,2017,70448,2522,19667,3.58,0.387,14819404,47.5377,31701,17612,10567,3522,7046,21134,7044,17612,3522,2113,19023,5.257810515621042,0.295,Low
Assam,2018,67875,1729,18542,2.55,0.35,15425813,44.0009,30543,16968,10181,3393,6790,20362,6787,16968,3393,2036,18329,-3.652339314104025,0.221,Low
Assam,2019,68222,702,22110,1.03,0.355,15734516,43.3582,30699,17055,10233,3411,6824,20466,6822,17055,3411,2046,18422,0.5112338858195287,0.237,Low
Assam,2020,65491,2735,25778,4.18,0.519,15758040,41.5604,29470,16372,9823,3274,6552,19647,6549,16372,3274,1964,17685,-4.003107501978831,0.467,Medium
Assam,2021,67422,2007,20270,2.98,0.39,16165372,41.7077,30339,16855,10113,3371,6744,20226,6742,16855,3371,2022,18206,2.948496740010076,0.293,Low
Assam,2022,70855,2835,20735,4.0,0.413,16426604,43.1343,31884,17713,10628,3542,7088,21256,7085,17713,3542,2125,19134,5.091809795022395,0.332,Low
Assam,2023,74962,1825,22896,2.43,0.378,16781746,44.6688,33732,18740,11244,3748,7498,22488,7496,18740,3748,2248,20242,5.796344647519591,0.283,Low
Bihar,2010,55708,2564,11559,4.6,0.346,5417080,102.8377,25068,13927,8356,2785,5572,16712,5570,13927,2785,1671,15043,0.0,0.237,Low
Bihar,2011,51928,1249,8102,2.41,0.228,5092217,101.9752,23367,12982,7789,2596,5194,15578,5192,12982,2596,1557,14023,-6.785380914769867,0.05,Low
Bihar,2012,56141,1749,15543,3.12,0.37,5186995,108.2342,25263,14035,8421,2807,5615,16842,5614,14035,2807,1684,15159,8.113156678477896,0.291,Low
Bihar,2013,60024,2676,19262,4.46,0.455,5144009,116.6872,27010,15006,9003,3001,6004,18007,6002,15006,3001,1800,16208,6.916513777809441,0.415,Medium
Bihar,2014,65536,2390,21428,3.65,0.436,5427479,120.7485,29491,16384,9830,3276,6555,19660,6553,16384,3276,1966,17697,9.182993469278955,0.393,Low
Bihar,2015,59784,2339,17514,3.91,0.41,6318264,94.6209,26902,14946,8967,2989,5980,17935,5978,14946,2989,1793,16143,-8.77685546875,0.31,Low
Bihar,2016,65008,1401,22265,2.16,0.407,6364558,102.1406,29253,16252,9751,3250,6502,19502,6500,16252,3250,1950,17554,8.73812391275257,0.345,Low
